config_name,n_events,cluster_purity,cluster_completeness,n_clusters_per_event,track_efficiency,track_fake_rate,n_tracks_per_event,vertex_reco_rate,vertex_resolution_r,vertex_bias_r
baseline,50,0.9941096580329958,0.13760756009325978,18.18,0.9063333333333332,0.8621363403817764,15.94,0.98,22.102174874617038,31.822842796343984
pos_0.5cm,50,0.9918136402901143,0.11497018034190315,22.74,0.8918333333333334,0.8677261745436383,15.56,0.66,36.26674651150759,33.244187636712425
pos_1.0cm,50,0.9922879417134967,0.09989610408127561,27.96,0.9311666666666667,0.8573475061289918,17.72,0.48,38.435141757263104,19.463562279660525
pos_2.0cm,50,0.9925801909308111,0.08686855552998689,30.7,0.9790000000000001,0.9005748503837028,26.18,0.24,64.99226590173116,27.896196253887805
pos_5.0cm,50,0.9897338316106002,0.07478804103921147,34.38,0.77,0.91404364981969,23.0,0.04,37.22436553153399,3.338796198891071
eff_95pct,50,0.9940214726446271,0.1345005152429402,17.9,0.9188333333333333,0.8592984148841053,16.08,0.98,22.070421628607654,31.75981198686336
eff_90pct,50,0.991272186413314,0.12960664550481757,18.52,0.9381666666666666,0.8444854966212142,16.26,0.96,22.274151149476506,31.895434728745375
eff_80pct,50,0.9917784856478459,0.11019414015814352,19.14,0.9455,0.857614492980637,16.52,0.98,22.067413329637958,31.609062313081754
eff_70pct,50,0.9926428017185196,0.09984378269003694,18.52,0.8821666666666667,0.8643036377799355,16.3,0.98,22.746728456006778,31.67037007005756
noise_50,50,0.9914876243885279,0.13706578829876995,20.0,0.9131666666666667,0.8682817316366078,17.0,0.98,21.814001094303745,31.82314266534303
noise_100,50,0.9889285503255901,0.13594694798473997,21.8,0.9208333333333333,0.8710466034609674,16.8,0.98,22.18668339332392,31.850814773037133
noise_200,50,0.9889854998982185,0.11747916780586964,42.36,0.8325,0.8964980466268999,19.24,0.92,16.67396548681878,19.24693921435925
noise_500,50,0.962808953408822,0.13219557351209335,71.56,0.4088333333333333,0.9354373549605141,16.44,0.68,24.05001574459899,30.16534479498116
realistic_good,50,0.9876863780410922,0.11352706107642538,22.56,0.9658333333333333,0.8529603030928932,17.08,0.76,35.66544480027284,31.613371863240342
realistic_moderate,50,0.9876037737421433,0.10037806158538422,29.76,0.9491666666666666,0.878595900307037,18.88,0.5,45.446921563332715,31.75949542073686
realistic_challenging,50,0.9861436886902942,0.0882318976158959,46.54,0.7965000000000001,0.9154094737740585,22.14,0.32,58.009260692714804,28.84098867033513
